"T.Max","T.Min","Rain","Date","Date2","lat","long","week","year","groups","cumulative_rain","season"
27.2,17.3,0.4,2023-10-03,"3/10/2023",-17.9,145.45,40,2023,16,0.4,"late_dry"
29,17.3,0,2023-10-04,"4/10/2023",-17.9,145.45,40,2023,16,0.4,"late_dry"
29.6,16.4,0,2023-10-05,"5/10/2023",-17.9,145.45,40,2023,16,0.4,"late_dry"
29.8,16,0,2023-10-06,"6/10/2023",-17.9,145.45,40,2023,16,0.4,"late_dry"
28.3,18.2,0,2023-10-07,"7/10/2023",-17.9,145.45,40,2023,16,0.4,"late_dry"
26.5,17.9,0.4,2023-10-08,"8/10/2023",-17.9,145.45,41,2023,16,1.3,"late_dry"
25.3,16.5,0.9,2023-10-09,"9/10/2023",-17.9,145.45,41,2023,16,1.3,"late_dry"
27.3,15.9,0,2023-10-10,"10/10/2023",-17.9,145.45,41,2023,16,1.3,"late_dry"
28.2,15.8,0,2023-10-11,"11/10/2023",-17.9,145.45,41,2023,16,1.3,"late_dry"
27.4,17.3,0,2023-10-12,"12/10/2023",-17.9,145.45,41,2023,16,1.3,"late_dry"
29.8,14.7,0,2023-10-13,"13/10/2023",-17.9,145.45,41,2023,16,1.3,"late_dry"
30.7,13,0,2023-10-14,"14/10/2023",-17.9,145.45,41,2023,16,1.3,"late_dry"
29,14.6,0,2023-10-15,"15/10/2023",-17.9,145.45,42,2023,16,0,"late_dry"
29.4,14,0,2023-10-16,"16/10/2023",-17.9,145.45,42,2023,16,0,"late_dry"
32.6,14,0,2023-10-17,"17/10/2023",-17.9,145.45,42,2023,16,0,"late_dry"
28.2,15.4,0,2023-10-18,"18/10/2023",-17.9,145.45,42,2023,16,0,"late_dry"
27.5,18.5,0,2023-10-19,"19/10/2023",-17.9,145.45,42,2023,16,0,"late_dry"
29.3,16,0,2023-10-20,"20/10/2023",-17.9,145.45,42,2023,16,0,"late_dry"
29.6,15.4,0,2023-10-21,"21/10/2023",-17.9,145.45,42,2023,16,0,"late_dry"
30.5,14.6,0,2023-10-22,"22/10/2023",-17.9,145.45,43,2023,16,0.1,"late_dry"
32.5,15.1,0,2023-10-23,"23/10/2023",-17.9,145.45,43,2023,16,0.1,"late_dry"
31.6,15.5,0,2023-10-24,"24/10/2023",-17.9,145.45,43,2023,16,0.1,"late_dry"
31.8,15.8,0,2023-10-25,"25/10/2023",-17.9,145.45,43,2023,16,0.1,"late_dry"
32.8,15.6,0,2023-10-26,"26/10/2023",-17.9,145.45,43,2023,16,0.1,"late_dry"
31.2,15.2,0,2023-10-27,"27/10/2023",-17.9,145.45,43,2023,16,0.1,"late_dry"
28.8,18.2,0.1,2023-10-28,"28/10/2023",-17.9,145.45,43,2023,16,0.1,"late_dry"
26.5,17.2,0,2023-10-29,"29/10/2023",-17.9,145.45,44,2023,16,0,"late_dry"
28.6,16.5,0,2023-10-30,"30/10/2023",-17.9,145.45,44,2023,16,0,"late_dry"
29.3,14.1,0,2023-10-31,"31/10/2023",-17.9,145.45,44,2023,16,0,"late_dry"
32.5,12.3,0,2023-11-01,"1/11/2023",-17.9,145.45,44,2023,16,0,"late_dry"
31,13.2,0,2023-11-02,"2/11/2023",-17.9,145.45,44,2023,16,0,"late_dry"
29.7,17.9,0,2023-11-03,"3/11/2023",-17.9,145.45,44,2023,16,0,"late_dry"
29.5,18.3,0,2023-11-04,"4/11/2023",-17.9,145.45,44,2023,16,0,"late_dry"
31.2,18.6,0,2023-11-05,"5/11/2023",-17.9,145.45,45,2023,16,1.4,"late_dry"
29,18.6,0,2023-11-06,"6/11/2023",-17.9,145.45,45,2023,16,1.4,"late_dry"
28.6,18.2,0,2023-11-07,"7/11/2023",-17.9,145.45,45,2023,16,1.4,"late_dry"
29.3,18.3,0.5,2023-11-08,"8/11/2023",-17.9,145.45,45,2023,16,1.4,"late_dry"
30.1,18.2,0.7,2023-11-09,"9/11/2023",-17.9,145.45,45,2023,16,1.4,"late_dry"
29.3,18,0,2023-11-10,"10/11/2023",-17.9,145.45,45,2023,16,1.4,"late_dry"
30.2,17.2,0.2,2023-11-11,"11/11/2023",-17.9,145.45,45,2023,16,1.4,"late_dry"
29.2,16.9,0,2023-11-12,"12/11/2023",-17.9,145.45,46,2023,16,0.2,"wet"
29.8,15.8,0,2023-11-13,"13/11/2023",-17.9,145.45,46,2023,16,0.2,"wet"
29.7,14.2,0,2023-11-14,"14/11/2023",-17.9,145.45,46,2023,16,0.2,"wet"
31.2,13.5,0.2,2023-11-15,"15/11/2023",-17.9,145.45,46,2023,16,0.2,"wet"
32,15.1,0,2023-11-16,"16/11/2023",-17.9,145.45,46,2023,16,0.2,"wet"
34.3,15.3,0,2023-11-17,"17/11/2023",-17.9,145.45,46,2023,16,0.2,"wet"
31.8,17.7,0,2023-11-18,"18/11/2023",-17.9,145.45,46,2023,16,0.2,"wet"
29.9,18.5,0,2023-11-19,"19/11/2023",-17.9,145.45,47,2023,16,11.4,"wet"
31.1,18.1,0,2023-11-20,"20/11/2023",-17.9,145.45,47,2023,16,11.4,"wet"
29.6,20.2,0.8,2023-11-21,"21/11/2023",-17.9,145.45,47,2023,16,11.4,"wet"
29.5,19.6,2.8,2023-11-22,"22/11/2023",-17.9,145.45,47,2023,16,11.4,"wet"
30.2,19.4,1.7,2023-11-23,"23/11/2023",-17.9,145.45,47,2023,16,11.4,"wet"
28,20.5,0.8,2023-11-24,"24/11/2023",-17.9,145.45,47,2023,16,11.4,"wet"
30,19.7,5.3,2023-11-25,"25/11/2023",-17.9,145.45,47,2023,16,11.4,"wet"
29.3,19.7,17.6,2023-11-26,"26/11/2023",-17.9,145.45,48,2023,16,123,"wet"
29.7,20.1,22.5,2023-11-27,"27/11/2023",-17.9,145.45,48,2023,16,123,"wet"
30.5,18.7,52.2,2023-11-28,"28/11/2023",-17.9,145.45,48,2023,16,123,"wet"
32.9,19.1,4.6,2023-11-29,"29/11/2023",-17.9,145.45,48,2023,16,123,"wet"
33.3,20.9,5.8,2023-11-30,"30/11/2023",-17.9,145.45,48,2023,16,123,"wet"
34.3,21.6,0,2023-12-01,"1/12/2023",-17.9,145.45,48,2023,16,123,"wet"
33.6,21.5,20.3,2023-12-02,"2/12/2023",-17.9,145.45,48,2023,16,123,"wet"
32.8,19.7,16.7,2023-12-03,"3/12/2023",-17.9,145.45,49,2023,16,18.5,"wet"
33.1,20.6,0.8,2023-12-04,"4/12/2023",-17.9,145.45,49,2023,16,18.5,"wet"
32.2,20.2,0.6,2023-12-05,"5/12/2023",-17.9,145.45,49,2023,16,18.5,"wet"
30.9,20.1,0.1,2023-12-06,"6/12/2023",-17.9,145.45,49,2023,16,18.5,"wet"
29.1,18.1,0,2023-12-07,"7/12/2023",-17.9,145.45,49,2023,16,18.5,"wet"
30.3,19,0.2,2023-12-08,"8/12/2023",-17.9,145.45,49,2023,16,18.5,"wet"
31.1,18.3,0.1,2023-12-09,"9/12/2023",-17.9,145.45,49,2023,16,18.5,"wet"
31.3,18,0,2023-12-10,"10/12/2023",-17.9,145.45,50,2023,16,289.5,"wet"
33.1,19.1,0,2023-12-11,"11/12/2023",-17.9,145.45,50,2023,16,289.5,"wet"
27.8,21.7,1.8,2023-12-12,"12/12/2023",-17.9,145.45,50,2023,16,289.5,"wet"
24.9,21.6,26.2,2023-12-13,"13/12/2023",-17.9,145.45,50,2023,16,289.5,"wet"
23.6,21,51.2,2023-12-14,"14/12/2023",-17.9,145.45,50,2023,16,289.5,"wet"
23.8,20.9,63.5,2023-12-15,"15/12/2023",-17.9,145.45,50,2023,16,289.5,"wet"
23,20.8,146.8,2023-12-16,"16/12/2023",-17.9,145.45,50,2023,16,289.5,"wet"
23.3,19.9,114.4,2023-12-17,"17/12/2023",-17.9,145.45,51,2023,16,141.7,"wet"
27.1,17.9,23,2023-12-18,"18/12/2023",-17.9,145.45,51,2023,16,141.7,"wet"
28.6,19.9,0,2023-12-19,"19/12/2023",-17.9,145.45,51,2023,16,141.7,"wet"
29,18.6,0.6,2023-12-20,"20/12/2023",-17.9,145.45,51,2023,16,141.7,"wet"
30.2,18.6,0,2023-12-21,"21/12/2023",-17.9,145.45,51,2023,16,141.7,"wet"
30.9,20.8,0,2023-12-22,"22/12/2023",-17.9,145.45,51,2023,16,141.7,"wet"
31.8,20.9,3.7,2023-12-23,"23/12/2023",-17.9,145.45,51,2023,16,141.7,"wet"
32.4,22.1,12.7,2023-12-24,"24/12/2023",-17.9,145.45,52,2023,16,43.1,"wet"
31.9,21.9,6.6,2023-12-25,"25/12/2023",-17.9,145.45,52,2023,16,43.1,"wet"
30.4,22.2,10.5,2023-12-26,"26/12/2023",-17.9,145.45,52,2023,16,43.1,"wet"
31.3,21.8,5.7,2023-12-27,"27/12/2023",-17.9,145.45,52,2023,16,43.1,"wet"
31.7,21.3,7.6,2023-12-28,"28/12/2023",-17.9,145.45,52,2023,16,43.1,"wet"
32.3,21.2,0,2023-12-29,"29/12/2023",-17.9,145.45,52,2023,16,43.1,"wet"
31.8,20.5,0,2023-12-30,"30/12/2023",-17.9,145.45,52,2023,16,43.1,"wet"
31.9,22.8,0,2023-12-31,"31/12/2023",-17.9,145.45,53,2023,16,0,"wet"
30.9,21.2,4,2024-01-01,"1/01/2024",-17.9,145.45,1,2024,16,5.5,"wet"
30.4,20.9,0,2024-01-02,"2/01/2024",-17.9,145.45,1,2024,16,5.5,"wet"
32.1,21.1,0.8,2024-01-03,"3/01/2024",-17.9,145.45,1,2024,16,5.5,"wet"
32,20.8,0,2024-01-04,"4/01/2024",-17.9,145.45,1,2024,16,5.5,"wet"
31.3,20.5,0,2024-01-05,"5/01/2024",-17.9,145.45,1,2024,16,5.5,"wet"
31.8,20.8,0.4,2024-01-06,"6/01/2024",-17.9,145.45,1,2024,16,5.5,"wet"
31.9,21.2,0.3,2024-01-07,"7/01/2024",-17.9,145.45,1,2024,16,5.5,"wet"
31.4,20.9,2.1,2024-01-08,"8/01/2024",-17.9,145.45,2,2024,16,62.3,"wet"
31.6,21,0,2024-01-09,"9/01/2024",-17.9,145.45,2,2024,16,62.3,"wet"
30.3,21.6,12.8,2024-01-10,"10/01/2024",-17.9,145.45,2,2024,16,62.3,"wet"
28.2,21.5,0,2024-01-11,"11/01/2024",-17.9,145.45,2,2024,16,62.3,"wet"
28.6,20.5,21.1,2024-01-12,"12/01/2024",-17.9,145.45,2,2024,16,62.3,"wet"
26.9,21.3,8.4,2024-01-13,"13/01/2024",-17.9,145.45,2,2024,16,62.3,"wet"
28.1,21,17.9,2024-01-14,"14/01/2024",-17.9,145.45,2,2024,16,62.3,"wet"
27.1,20.5,57,2024-01-15,"15/01/2024",-17.9,145.45,3,2024,16,257,"wet"
27.7,21.2,20.1,2024-01-16,"16/01/2024",-17.9,145.45,3,2024,16,257,"wet"
29.4,21.8,29.3,2024-01-17,"17/01/2024",-17.9,145.45,3,2024,16,257,"wet"
29.9,22,36.6,2024-01-18,"18/01/2024",-17.9,145.45,3,2024,16,257,"wet"
29.4,21.4,38.5,2024-01-19,"19/01/2024",-17.9,145.45,3,2024,16,257,"wet"
27.4,21.7,23.1,2024-01-20,"20/01/2024",-17.9,145.45,3,2024,16,257,"wet"
29.4,22.1,52.4,2024-01-21,"21/01/2024",-17.9,145.45,3,2024,16,257,"wet"
31.7,20.7,8.1,2024-01-22,"22/01/2024",-17.9,145.45,4,2024,16,56.4,"late_wet"
32.1,19.6,0,2024-01-23,"23/01/2024",-17.9,145.45,4,2024,16,56.4,"late_wet"
31.2,21.5,0,2024-01-24,"24/01/2024",-17.9,145.45,4,2024,16,56.4,"late_wet"
26.5,21.3,0.1,2024-01-25,"25/01/2024",-17.9,145.45,4,2024,16,56.4,"late_wet"
30.1,20.5,46.8,2024-01-26,"26/01/2024",-17.9,145.45,4,2024,16,56.4,"late_wet"
30.5,22.3,0.1,2024-01-27,"27/01/2024",-17.9,145.45,4,2024,16,56.4,"late_wet"
31.7,22,1.3,2024-01-28,"28/01/2024",-17.9,145.45,4,2024,16,56.4,"late_wet"
32.7,23.1,2,2024-01-29,"29/01/2024",-17.9,145.45,5,2024,16,53.3,"late_wet"
32.8,23.9,8.9,2024-01-30,"30/01/2024",-17.9,145.45,5,2024,16,53.3,"late_wet"
29.3,22.6,6.9,2024-01-31,"31/01/2024",-17.9,145.45,5,2024,16,53.3,"late_wet"
29.5,22.3,2.6,2024-02-01,"1/02/2024",-17.9,145.45,5,2024,16,53.3,"late_wet"
28.8,22.5,22.8,2024-02-02,"2/02/2024",-17.9,145.45,5,2024,16,53.3,"late_wet"
30.1,22.4,9.1,2024-02-03,"3/02/2024",-17.9,145.45,5,2024,16,53.3,"late_wet"
30.5,22.6,1,2024-02-04,"4/02/2024",-17.9,145.45,5,2024,16,53.3,"late_wet"
29.5,21.6,9,2024-02-05,"5/02/2024",-17.9,145.45,6,2024,16,26.5,"late_wet"
29.9,21.2,6.6,2024-02-06,"6/02/2024",-17.9,145.45,6,2024,16,26.5,"late_wet"
31.4,20.9,4.6,2024-02-07,"7/02/2024",-17.9,145.45,6,2024,16,26.5,"late_wet"
29.2,20.9,0.2,2024-02-08,"8/02/2024",-17.9,145.45,6,2024,16,26.5,"late_wet"
29.7,20.6,1.5,2024-02-09,"9/02/2024",-17.9,145.45,6,2024,16,26.5,"late_wet"
28.6,20.3,4.3,2024-02-10,"10/02/2024",-17.9,145.45,6,2024,16,26.5,"late_wet"
30.6,19.1,0.3,2024-02-11,"11/02/2024",-17.9,145.45,6,2024,16,26.5,"late_wet"
29.8,20.7,3,2024-02-12,"12/02/2024",-17.9,145.45,7,2024,16,51.7,"late_wet"
30,21.2,3.1,2024-02-13,"13/02/2024",-17.9,145.45,7,2024,16,51.7,"late_wet"
29.7,19.9,1.5,2024-02-14,"14/02/2024",-17.9,145.45,7,2024,16,51.7,"late_wet"
28.9,20.7,0,2024-02-15,"15/02/2024",-17.9,145.45,7,2024,16,51.7,"late_wet"
27.7,21.2,5.2,2024-02-16,"16/02/2024",-17.9,145.45,7,2024,16,51.7,"late_wet"
28.5,21.6,15.3,2024-02-17,"17/02/2024",-17.9,145.45,7,2024,16,51.7,"late_wet"
28.8,21.7,23.6,2024-02-18,"18/02/2024",-17.9,145.45,7,2024,16,51.7,"late_wet"
28.9,20.8,3.8,2024-02-19,"19/02/2024",-17.9,145.45,8,2024,16,81.9,"late_wet"
29.4,20.6,0.4,2024-02-20,"20/02/2024",-17.9,145.45,8,2024,16,81.9,"late_wet"
27.3,21.2,0.5,2024-02-21,"21/02/2024",-17.9,145.45,8,2024,16,81.9,"late_wet"
25.6,20.8,11.8,2024-02-22,"22/02/2024",-17.9,145.45,8,2024,16,81.9,"late_wet"
26.5,20.2,16.7,2024-02-23,"23/02/2024",-17.9,145.45,8,2024,16,81.9,"late_wet"
27.7,20.2,48.1,2024-02-24,"24/02/2024",-17.9,145.45,8,2024,16,81.9,"late_wet"
27.3,20.8,0.6,2024-02-25,"25/02/2024",-17.9,145.45,8,2024,16,81.9,"late_wet"
30.3,21.5,5.5,2024-02-26,"26/02/2024",-17.9,145.45,9,2024,16,52,"late_wet"
28.7,21.8,25.4,2024-02-27,"27/02/2024",-17.9,145.45,9,2024,16,52,"late_wet"
27.4,22.5,3,2024-02-28,"28/02/2024",-17.9,145.45,9,2024,16,52,"late_wet"
