"date","site","group","measured_temperature_average","measured_temperature_max","measured_temperature_min","silo_max_temperature","silo_min_temperature","silo_rain","Date2","lat","long","silo_average_temperature","month","predict_temp_avg","predict_temp_max","predict_temp_min","composite_temperature_max","composite_temperature_min","composite_temperature_avg"
2024-01-13,"site-b",10,NA,NA,NA,27.3,21.5,5,"13/01/2024",-17.95,145.4,24.4,1,22.5172266299622,34.6692665309632,20.6245129579611,34.6692665309632,20.6245129579611,22.5172266299622
2024-01-14,"site-b",10,NA,NA,NA,28.3,21.2,14.7,"14/01/2024",-17.95,145.4,24.75,1,22.9256921703614,36.2156205459892,20.2270453306631,36.2156205459892,20.2270453306631,22.9256921703614
2024-01-15,"site-b",10,NA,NA,NA,27.2,20.6,62.2,"15/01/2024",-17.95,145.4,23.9,1,21.9337044293919,34.5146311294606,19.432110076067,34.5146311294606,19.432110076067,21.9337044293919
2024-01-16,"site-b",10,NA,NA,NA,27.9,21.4,19.5,"16/01/2024",-17.95,145.4,24.65,1,22.8089877302474,35.5970789399788,20.4920237488618,35.5970789399788,20.4920237488618,22.8089877302474
2024-01-17,"site-b",10,NA,NA,NA,29.7,22,24.4,"17/01/2024",-17.95,145.4,25.85,1,24.2094410116161,38.3805161670256,21.2869590034579,38.3805161670256,21.2869590034579,24.2094410116161
2024-01-18,"site-b",10,NA,NA,NA,30,22.2,34,"18/01/2024",-17.95,145.4,26.1,1,24.5012021119012,38.8444223715334,21.5519374216566,38.8444223715334,21.5519374216566,24.5012021119012
2024-01-19,"site-b",10,NA,NA,NA,29.6,21.6,34.2,"19/01/2024",-17.95,145.4,25.6,1,23.9176799113309,38.225880765523,20.7570021670605,38.225880765523,20.7570021670605,23.9176799113309
2024-01-20,"site-b",10,NA,NA,NA,27.7,21.9,22.8,"20/01/2024",-17.95,145.4,24.8,1,22.9840443904185,35.2878081369736,21.1544697943585,35.2878081369736,21.1544697943585,22.9840443904185
2024-01-21,"site-b",10,NA,NA,NA,29.7,22.3,54.3,"21/01/2024",-17.95,145.4,26,1,24.3844976717872,38.3805161670256,21.684426630756,38.3805161670256,21.684426630756,24.3844976717872
2024-01-22,"site-b",10,NA,NA,NA,32,20.9,6.5,"22/01/2024",-17.95,145.4,26.45,1,24.9096676523004,41.9371304015854,19.829577703365,41.9371304015854,19.829577703365,24.9096676523004
