"index","season_weekly","rain_weekly","removal_num_weekly","removal_freq_weekly","temp_weekly","det.Predicted","det.SE","det.lower","det.upper"
 26,"early_dry",8.879537e+00,0,0,33.46599,0.099504687,0.056466085,0.031224401,0.274794476
 26,"late_dry",3.970068e-01,0,0,30.28836,0.039657272,0.032048473,0.007876127,0.176829836
 26,"late_wet",2.728899e+01,2,0,36.13799,0.237282398,0.139634550,0.068496106,0.580684153
 26,"wet",8.924988e+01,0,0,35.63603,0.074170522,0.039492687,0.025526971,0.197251329
 27,"dry",1.110089e+01,3,1,25.58963,0.075063122,0.088476279,0.007693216,0.494983418
 27,"early_dry",7.018745e+00,5,1,29.17895,0.124461751,0.164125360,0.013153677,0.682589309
 27,"late_dry",4.448017e-01,2,0,30.59325,0.040363953,0.037650385,0.006462225,0.223432292
 27,"late_wet",3.861402e+01,2,0,39.37301,0.212395884,0.128463902,0.060169443,0.541898021
 27,"wet",4.928549e+01,2,0,34.00391,0.088283064,0.058594657,0.024553413,0.293930117
 28,"dry",1.358346e+00,2,0,25.73410,0.073973060,0.067997030,0.011994199,0.361370630
 28,"early_dry",1.885585e+01,3,0,28.85274,0.117044135,0.101453486,0.023350958,0.471850048
 28,"late_dry",3.217093e-01,1,0,30.89733,0.039413719,0.033055818,0.007380171,0.185136737
 28,"late_wet",2.661548e+01,2,0,36.14183,0.237577868,0.139772710,0.068585079,0.581164401
 28,"wet",7.383233e+01,5,1,34.43446,0.087358526,0.116947910,0.010186207,0.584342938
 29,"dry",1.205377e+01,1,0,24.85423,0.073197494,0.059897270,0.013931728,0.308184112
 29,"early_dry",8.838295e+00,0,0,29.11545,0.114246442,0.066142253,0.035028989,0.313821856
 29,"late_dry",4.164427e-01,5,1,31.40659,0.041852796,0.064527410,0.002992573,0.493058834
 29,"late_wet",3.524609e+01,0,0,37.15861,0.222047847,0.099289011,0.084834864,0.467708151
 29,"wet",2.425111e+01,5,0,33.28500,0.099924469,0.112980862,0.020152855,0.523421112
 30,"dry",4.437053e+00,3,1,24.44442,0.079212076,0.092940265,0.008160971,0.510763299
 30,"early_dry",7.649407e+00,3,1,31.94639,0.110837294,0.116386029,0.014804832,0.553730412
 30,"late_dry",1.199871e-02,3,0,32.20887,0.038913511,0.042183252,0.005144970,0.278520823
 30,"late_wet",4.714701e+01,3,0,39.09046,0.212829425,0.156537509,0.051125403,0.600697789
 30,"wet",1.011802e+02,2,1,36.82873,0.073039583,0.071368371,0.011054244,0.377098569
 31,"dry",1.149944e+01,1,0,26.79832,0.068778114,0.056350095,0.013098798,0.293055589
 31,"early_dry",1.698125e+01,3,0,31.58096,0.107702613,0.092552621,0.022168516,0.442488983
 31,"late_dry",2.188801e-01,0,1,31.11172,0.039389724,0.041542867,0.005443996,0.272114762
 31,"late_wet",2.512393e+01,3,0,38.09274,0.228580138,0.162424789,0.057131265,0.619904379
 31,"wet",1.132871e+02,5,1,37.28578,0.073355898,0.107301987,0.006090263,0.568646209
 32,"dry",8.707444e+00,3,0,26.62313,0.071602267,0.076186877,0.009869943,0.421635652
 32,"early_dry",1.874023e+01,4,0,32.98655,0.104139497,0.107520803,0.018791883,0.499528688
 32,"late_dry",4.593133e-01,1,1,30.41088,0.040857960,0.043212147,0.005464893,0.279348198
 32,"late_wet",4.829237e+01,1,0,36.98406,0.219766048,0.109381140,0.075385527,0.494344227
 32,"wet",3.219149e+01,1,0,35.32000,0.087191624,0.048375951,0.028627309,0.238219117
 33,"dry",6.037111e+00,2,0,26.01268,0.072475860,0.066750095,0.011730551,0.356201629
 33,"early_dry",1.079884e+01,4,0,31.85854,0.109770378,0.111197717,0.020404315,0.509911637
