"index","season_weekly","rain_weekly","removal_num_weekly","removal_freq_weekly","temp_weekly","det.Predicted","det.SE","det.lower","det.upper"
 17,"dry",6.122854e+00,3,1,24.72996,0.10093383,0.06260382,0.03027082,0.30382954
 17,"early_dry",1.970617e+01,2,1,31.21956,0.14213699,0.06527053,0.06105627,0.32400844
 17,"late_dry",3.587592e-03,2,0,30.12847,0.27153113,0.07747097,0.14965900,0.44149077
 17,"late_wet",3.390190e+01,4,0,38.82462,0.10845959,0.05750239,0.04136329,0.26531970
 17,"wet",7.816904e+01,3,0,37.27326,0.11118214,0.05138058,0.04847173,0.23965715
 18,"dry",9.624273e+00,3,0,24.14134,0.10355113,0.05797637,0.03386912,0.27849456
 18,"early_dry",1.689361e+01,5,0,33.31038,0.14079069,0.07609682,0.05698956,0.31565581
 18,"late_dry",1.934219e-03,4,0,30.33900,0.27842495,0.09620635,0.14057254,0.47486418
 18,"late_wet",2.880455e+01,1,0,36.82146,0.10987382,0.04344036,0.04941145,0.22674996
 18,"wet",7.106814e+01,1,0,34.09891,0.12010866,0.03968997,0.06167793,0.22098623
 19,"dry",1.770415e+00,2,0,24.96605,0.09769689,0.05191649,0.03335452,0.25405946
 19,"early_dry",2.149816e+01,1,1,31.40652,0.13842950,0.05988044,0.06258902,0.30639129
 19,"late_dry",5.223416e-01,1,0,31.85931,0.25168801,0.06816851,0.14295771,0.40403727
 19,"late_wet",4.280028e+01,3,0,37.21085,0.11309416,0.05219681,0.04626178,0.25670456
 19,"wet",5.355208e+01,4,0,34.89001,0.12356975,0.05753420,0.05368089,0.27146528
 20,"dry",1.012240e+01,1,0,26.77374,0.08897656,0.04659667,0.03096572,0.22978585
 20,"early_dry",2.306119e+00,3,1,30.47180,0.14869692,0.07316960,0.06050543,0.35086645
 20,"late_dry",5.664061e-02,5,0,32.22058,0.26621697,0.10661851,0.12614892,0.46672562
 20,"late_wet",4.194856e+01,0,0,38.89557,0.09921895,0.03887280,0.04522331,0.20420647
 20,"wet",4.590493e+01,2,0,32.61629,0.12942561,0.04725459,0.06325978,0.24882958
 21,"dry",4.417682e+00,2,1,26.58632,0.09143505,0.05559085,0.02816459,0.27263985
 21,"early_dry",1.994230e+01,1,1,31.72887,0.13661231,0.05963873,0.06152004,0.30373003
 21,"late_dry",2.198013e-01,2,0,29.87253,0.27397146,0.07827209,0.15095376,0.44511232
 21,"late_wet",4.578216e+01,4,1,38.88511,0.10860890,0.06817257,0.03597401,0.31476483
 21,"wet",1.039661e+02,5,0,35.23830,0.12679379,0.06665041,0.05253736,0.29117853
 22,"dry",5.122848e+00,4,0,26.01874,0.09799638,0.06020156,0.03005826,0.28089976
 22,"early_dry",1.916440e+01,1,0,30.03437,0.14619572,0.04778745,0.07525932,0.26510260
 22,"late_dry",3.768894e-01,3,0,32.37648,0.25566582,0.08471877,0.13201088,0.43555962
 22,"late_wet",3.439260e+01,2,0,37.01625,0.11132561,0.04699059,0.04795569,0.23900951
 22,"wet",1.292899e+01,3,1,35.72680,0.11558798,0.06279210,0.04402584,0.29770774
 23,"dry",4.539452e+00,3,1,25.86786,0.09627091,0.06074918,0.02849432,0.29394169
 23,"early_dry",1.731524e+01,4,0,29.97187,0.15544802,0.06815412,0.06909748,0.32368803
 23,"late_dry",3.898330e-01,0,1,31.51778,0.25084429,0.08730892,0.12853318,0.45036761
 23,"late_wet",4.327358e+01,5,0,36.51761,0.12184400,0.06822863,0.04530658,0.30440274
 23,"wet",5.115354e+01,2,0,35.48464,0.11525351,0.04379826,0.05510616,0.22685189
 24,"dry",1.489807e+00,2,0,26.88847,0.09022828,0.04928179,0.03033419,0.23911071
 24,"early_dry",9.134157e+00,1,0,29.51760,0.14894958,0.04928292,0.07635533,0.27053016
 24,"late_dry",4.577994e-01,5,0,31.36272,0.27378111,0.10632148,0.13163522,0.47530990
 24,"late_wet",5.490446e+01,2,1,38.38337,0.10594931,0.05612118,0.03991795,0.27850028
 24,"wet",1.096923e+02,5,0,34.09998,0.13245639,0.06687021,0.05607846,0.29915478
 25,"dry",6.833735e+00,4,0,25.91171,0.09845814,0.06034756,0.03024653,0.28181722
 25,"early_dry",2.264268e+00,0,1,30.29091,0.14151641,0.05926240,0.06558756,0.30760613
 25,"late_dry",3.191307e-01,5,1,29.02499,0.29580577,0.13218887,0.12773850,0.55865779
 25,"late_wet",4.742621e+01,5,0,36.37275,0.12267402,0.06854482,0.04563760,0.30613313
 25,"wet",9.084860e+01,2,0,36.97290,0.11021116,0.04502022,0.05149609,0.22153385
 26,"dry",8.612049e+00,1,0,26.06411,0.09159002,0.04740149,0.03207504,0.23474534
 26,"early_dry",8.879537e+00,0,0,33.46599,0.12478911,0.04259888,0.06424560,0.22973169
 26,"late_dry",3.970068e-01,0,0,30.28836,0.26202941,0.06832871,0.15159866,0.41359962
 26,"late_wet",2.728899e+01,2,0,36.13799,0.11530403,0.04895271,0.04949338,0.24744797
 26,"wet",8.924988e+01,0,0,35.63603,0.11128359,0.03698904,0.05734096,0.20500243
 27,"dry",1.110089e+01,3,1,25.58963,0.09754951,0.06119714,0.02900280,0.29654850
 27,"early_dry",7.018745e+00,5,1,29.17895,0.16343471,0.09346514,0.06069660,0.40530044
 27,"late_dry",4.448017e-01,2,0,30.59325,0.26721589,0.07632431,0.14719922,0.43536312
 27,"late_wet",3.861402e+01,2,0,39.37301,0.10138213,0.04490894,0.04295825,0.22201000
 27,"wet",4.928549e+01,2,0,34.00391,0.12225221,0.04453400,0.05961252,0.23632654
 28,"dry",1.358346e+00,2,0,25.73410,0.09457970,0.05060842,0.03215975,0.24748151
 28,"early_dry",1.885585e+01,3,0,28.85274,0.15926398,0.06324039,0.07390868,0.31617268
 28,"late_dry",3.217093e-01,1,0,30.89733,0.26028554,0.06900169,0.14882985,0.41451233
 28,"late_wet",2.661548e+01,2,0,36.14183,0.11526443,0.04894678,0.04947136,0.24738682
 28,"wet",7.383233e+01,5,1,34.43446,0.12956601,0.07808841,0.04770240,0.34504411
 29,"dry",1.205377e+01,1,0,24.85423,0.09654180,0.04952145,0.03399031,0.24510825
 29,"early_dry",8.838295e+00,0,0,29.11545,0.14894501,0.04872382,0.07755962,0.26716420
 29,"late_dry",4.164427e-01,5,1,31.40659,0.27343281,0.12774104,0.11538701,0.52635284
 29,"late_wet",3.524609e+01,0,0,37.15861,0.10652002,0.04098815,0.04882932,0.21694553
 29,"wet",2.425111e+01,5,0,33.28500,0.13371856,0.06838355,0.05591880,0.30407488
 30,"dry",4.437053e+00,3,1,24.44442,0.10210577,0.06318025,0.03067912,0.30649343
 30,"early_dry",7.649407e+00,3,1,31.94639,0.14068792,0.07179415,0.05610403,0.33829825
 30,"late_dry",1.199871e-02,3,0,32.20887,0.25708222,0.08455954,0.13310808,0.43701760
 30,"late_wet",4.714701e+01,3,0,39.09046,0.10517374,0.05069785,0.04227390,0.24316687
 30,"wet",1.011802e+02,2,1,36.82873,0.11119590,0.05705591,0.04527315,0.27359297
 31,"dry",1.149944e+01,1,0,26.79832,0.08892578,0.04659453,0.03094088,0.22970735
 31,"early_dry",1.698125e+01,3,0,31.58096,0.14299148,0.05766259,0.06619907,0.28724755
 31,"late_dry",2.188801e-01,0,1,31.11172,0.25447816,0.08789505,0.13099323,0.45484037
 31,"late_wet",2.512393e+01,3,0,38.09274,0.10863121,0.05105714,0.04407226,0.24881486
 31,"wet",1.132871e+02,5,1,37.28578,0.11836869,0.08076974,0.03924437,0.33423687
 32,"dry",8.707444e+00,3,0,26.62313,0.09350401,0.05397798,0.03003128,0.25728288
 32,"early_dry",1.874023e+01,4,0,32.98655,0.13898306,0.06620148,0.05965153,0.29909046
 32,"late_dry",4.593133e-01,1,1,30.41088,0.26483225,0.09168675,0.13557093,0.47216616
 32,"late_wet",4.829237e+01,1,0,36.98406,0.10972383,0.04320647,0.04942002,0.22621974
 32,"wet",3.219149e+01,1,0,35.32000,0.11298177,0.03948473,0.05641497,0.21352697
 33,"dry",6.037111e+00,2,0,26.01268,0.09362513,0.05026954,0.03177743,0.24554406
